fileName,variableName,description,unitText
device_position.csv,site,Site of measurement,NA
device_position.csv,device_id,Device ID,NA
device_position.csv,reference,"Reference point, can be either depth (d), height (h) or elevation (e)",NA
device_position.csv,z_relative,Relative distance from reference point,NA
device_variable.csv,device_id,Device ID,NA
device_variable.csv,var_abbr,Variable abbreviation,NA
qc_filters.csv,var_abbr,Variable abbreviation,NA
qc_filters.csv,low,Low value to set values to NA if they are below this value,NA
qc_filters.csv,high,High value to set values to NA if they are above this value,NA
qc_filters.csv,roc,Rate of change to set values to NA which change from the previous value by greater than this value,NA
qc_filters.csv,consec,Set values to NA if there are consecutive values greater than this value,NA
qc_filters.csv,interp,Interpolate values if there is a data gap less than this value,NA
rotorua_qc.csv,datetime,Date and time of measurement,NA
rotorua_qc.csv,site,Site of measurement,NA
rotorua_qc.csv,qc_value_t_wtr_d50,Water temperature at 0.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d100,Water temperature at 1.0m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d250,Water temperature at 2.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d450,Water temperature at 4.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d650,Water temperature at 6.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d850,Water temperature at 8.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1050,Water temperature at 10.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1250,Water temperature at 12.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1450,Water temperature at 14.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1650,Water temperature at 16.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1850,Water temperature at 18.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d2000,Water temperature at 20.0m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d2050,Water temperature at 20.5m,degree_Celsius
rotorua_qc.csv,qc_value_c_do_d100,Dissolved oxygen concentration at 1.0m,mg/l
rotorua_qc.csv,qc_value_c_do_d2000,Dissolved oxygen concentration at 10.0m,mg/l
rotorua_qc.csv,qc_value_c_do_sat_d100,Dissolved oxygen percent saturation at 1.0m,percent
rotorua_qc.csv,qc_value_c_do_sat_d2000,Dissolved oxygen percent saturation at 20.0m,percent
rotorua_qc.csv,qc_value_h_rh_h150,Relative humidity at 1.5m,percent
rotorua_qc.csv,qc_value_pp_rain_h150,Rainfall at 1.5m,mm
rotorua_qc.csv,qc_value_pr_baro_h150,Barometric pressure at 1.5m,hPa
rotorua_qc.csv,qc_value_t_air_h150,Air temperature at 1.5m,degree_Celsius
rotorua_qc.csv,qc_value_w_dir_h150,Wind direction at 1.5m,degree
rotorua_qc.csv,qc_value_w_spd_h150,Wind speed at 1.5m,m/s
rotorua_qc.csv,qc_value_c_ph_d100,pH at 1.0m,-
rotorua_qc.csv,qc_value_f_chl_d100,Chlorophyll fluorescence at 1.0m,RFU
rotorua_qc.csv,qc_value_f_phyc_d100,Phyocyanin fluorescence at 1.0m,RFU
rotorua_qc.csv,qc_code_t_wtr_d100,Quality control code for water temperature at 0.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1050,Quality control code for water temperature at 1.0m,NA
rotorua_qc.csv,qc_code_t_wtr_d1250,Quality control code for water temperature at 2.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1450,Quality control code for water temperature at 4.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1650,Quality control code for water temperature at 6.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1850,Quality control code for water temperature at 8.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d2000,Quality control code for water temperature at 10.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d2050,Quality control code for water temperature at 12.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d250,Quality control code for water temperature at 14.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d450,Quality control code for water temperature at 16.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d50,Quality control code for water temperature at 18.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d650,Quality control code for water temperature at 20.0m,NA
rotorua_qc.csv,qc_code_t_wtr_d850,Quality control code for water temperature at 20.5m,NA
rotorua_qc.csv,qc_code_c_do_d100,Quality control code for dissolved oxygen concentration at 1.0m,NA
rotorua_qc.csv,qc_code_c_do_d2000,Quality control code for dissolved oxygen concentration at 10.0m,NA
rotorua_qc.csv,qc_code_c_do_sat_d100,Quality control code for dissolved oxygen percent saturation at 1.0m,NA
rotorua_qc.csv,qc_code_c_do_sat_d2000,Quality control code for dissolved oxygen percent saturation at 20.0m,NA
rotorua_qc.csv,qc_code_h_rh_h150,Quality control code for relative humidity at 1.5m,NA
rotorua_qc.csv,qc_code_pp_rain_h150,Quality control code for rainfall at 1.5m,NA
rotorua_qc.csv,qc_code_pr_baro_h150,Quality control code for barometric pressure at 1.5m,NA
rotorua_qc.csv,qc_code_t_air_h150,Quality control code for air temperature at 1.5m,NA
rotorua_qc.csv,qc_code_w_dir_h150,Quality control code for wind direction at 1.5m,NA
rotorua_qc.csv,qc_code_w_spd_h150,Quality control code for wind speed at 1.5m,NA
rotorua_qc.csv,qc_code_c_ph_d100,Quality control code for ph at 1.0m,NA
rotorua_qc.csv,qc_code_f_chl_d100,Quality control code for chlorophyll fluorescence at 1.0m,NA
